Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,717.049988,725.750000,715.000000,721.049988,637.257385,6455426
2019-04-23,723.900024,730.000000,718.400024,728.200012,643.576721,5516668
2019-04-24,728.200012,737.900024,724.000000,736.450012,650.867859,8285120
2019-04-25,736.450012,737.650024,727.049988,728.549988,643.885986,8005235
2019-04-26,731.000000,739.799988,729.000000,738.000000,652.237793,6895168
2019-04-30,738.000000,753.799988,738.000000,751.349976,664.036438,9920046
2019-05-02,747.000000,748.400024,729.500000,730.799988,645.874390,6351352
2019-05-03,722.900024,731.000000,718.200012,723.599976,639.511230,6348116
2019-05-06,715.000000,721.799988,710.650024,718.400024,634.915466,8858265
2019-05-07,720.400024,727.900024,718.700012,724.549988,640.350769,5747536
2019-05-08,721.000000,726.000000,716.500000,719.349976,635.755005,6247642
2019-05-09,719.150024,730.299988,715.799988,721.049988,637.257385,7396525
2019-05-10,720.799988,726.000000,715.000000,716.849976,633.545532,8352335
2019-05-13,716.549988,726.450012,712.099976,719.700012,636.064453,6808993
2019-05-14,716.500000,717.750000,703.599976,713.849976,630.894226,10513001
2019-05-15,714.900024,725.200012,712.599976,716.099976,632.882813,6668929
2019-05-16,720.000000,737.000000,719.099976,733.099976,647.907288,6468556
2019-05-17,733.150024,735.799988,720.099976,723.900024,639.776306,8155948
2019-05-20,719.700012,726.400024,706.000000,722.400024,638.450623,11213708
2019-05-21,722.650024,722.650024,707.700012,709.299988,626.872986,8645535
2019-05-22,710.000000,718.250000,707.000000,709.750000,627.270691,5795713
2019-05-23,715.000000,716.700012,697.450012,701.049988,619.581726,7233736
2019-05-24,703.799988,711.750000,700.450012,709.200012,626.784607,7016424
2019-05-27,707.400024,713.799988,705.500000,708.099976,625.812378,10247544
2019-05-28,712.000000,733.450012,709.799988,728.099976,643.488281,23860490
2019-05-29,725.500000,733.650024,723.650024,727.799988,643.223083,10293077
2019-05-30,727.000000,737.250000,722.549988,733.549988,648.304993,15089296
2019-05-31,736.500000,742.950012,733.200012,737.750000,652.016785,8290306
2019-06-03,729.799988,750.900024,729.000000,744.650024,658.115051,7744761
2019-06-04,737.250000,739.450012,733.150024,735.299988,649.851501,11733702
2019-06-06,736.500000,744.650024,733.650024,735.599976,650.116638,7563925
2019-06-07,735.849976,743.950012,735.849976,739.099976,653.209900,3218358
2019-06-10,740.099976,754.099976,740.099976,753.500000,665.936584,4435148
2019-06-11,755.000000,759.000000,750.500000,754.900024,667.173828,5733127
2019-06-12,756.950012,756.950012,745.000000,753.799988,666.201599,8738342
2019-06-13,740.000000,747.200012,740.000000,742.650024,665.619141,4808577
2019-06-14,743.849976,745.500000,738.250000,740.450012,663.647339,5556353
2019-06-17,743.000000,744.500000,737.799988,740.549988,663.736938,3085588
2019-06-18,740.200012,752.450012,740.200012,750.150024,672.341248,6202838
2019-06-19,752.500000,755.400024,748.599976,751.900024,673.909607,4596253
2019-06-20,737.799988,756.900024,735.900024,754.900024,676.598572,7148684
